Pitch No.,Pitcher,PitcherThrows,AutoPitchType,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Kysar, Ryan",Right,Slider,80.8504,-0.605926,-0.500201,2185.661303,115.503023,9:45,6.14031,1.01864,5.09118,-36.89427,7.05512,-11.95178,2.49466,-0.4488,74.38992,-7.319342,-2.615575,0.477142,95.3448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Kysar, Ryan",Right,Slider,82.38206,-2.576411,-0.332956,2094.067669,140.034571,10:45,6.11083,0.95807,5.56949,-29.12289,12.87213,-9.59312,1.2755,-0.15239,75.24005,-7.958942,-2.046528,0.466413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Kysar, Ryan",Right,Slider,82.24492,-2.913584,-0.938866,2281.31674,129.44405,10:15,6.14041,0.96789,5.46897,-33.6338,8.89686,-8.9963,0.60803,-0.66058,74.96326,-9.078499,-2.543572,0.469378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Kysar, Ryan",Right,ChangeUp,78.62084,2.139462,-1.729938,1021.066008,266.862226,3:00,6.02763,1.07215,5.20917,-44.21719,2.04351,11.78304,4.35676,0.42667,72.14054,-5.920131,0.357004,0.489528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Kysar, Ryan",Right,Four-Seam,90.44735,-3.827507,-1.651146,2181.621854,201.301671,12:45,6.19142,0.87844,5.73894,-13.50942,20.9382,7.72874,1.49469,-0.01547,82.81062,-6.408069,-0.268545,0.422426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Kysar, Ryan",Right,Slider,82.95406,-1.946046,-0.464881,2215.726849,117.462693,10:00,6.169,0.92133,5.53793,-34.91443,6.59063,-9.96591,1.43973,-0.3437,75.72526,-8.354334,-2.244942,0.463684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Kysar, Ryan",Right,Four-Seam,90.39614,-1.144619,-0.71515,2035.13401,217.295889,1:15,6.2209,0.83498,5.68002,-18.06501,16.27131,11.59099,3.64822,1.13419,82.86495,-4.544862,1.357193,0.421744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Kysar, Ryan",Right,Four-Seam,90.06276,-3.697978,-1.338884,2068.418485,200.442185,12:45,6.18638,0.78872,5.66572,-14.08457,20.52088,7.25685,1.55866,0.14475,82.97453,-6.365498,-0.042138,0.423393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Kysar, Ryan",Right,ChangeUp,80.43738,0.632996,-1.057513,981.927478,273.019304,3:00,6.00286,0.92434,5.22356,-43.17561,0.65846,10.99237,3.00016,0.84599,74.49148,-7.201675,0.89299,0.476516,72.13244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Kysar, Ryan",Right,Four-Seam,89.67044,-2.814988,-1.299669,2274.72801,188.935196,12:15,6.0723,0.47091,5.74747,-11.79001,23.87596,3.5387,2.46632,-0.44437,80.40217,-5.146928,-0.666553,0.429832,73.49838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
